level	taxid	name	read_count	total_bp_mapped	rel_abundance
genus	1980697	Duodenibacillus	636	398147	0.004368
genus	40566	Actinosynnema	635	126317	0.000760
genus	1511635	Aquisphaera	602	236342	0.000762
genus	1707	Cellulomonas	599	109668	0.002232
genus	556257	Pseudolabrys	598	220428	0.001496
genus	93217	Pandoraea	596	204879	0.002109
genus	2019482	Brevefilum	592	493886	0.004551
genus	84108	Slackia	588	362854	0.003089
genus	1298	Deinococcus	588	174303	0.001683
genus	265976	Serinicoccus	584	154709	0.002538
genus	400060	Paludibacterium	567	197152	0.001631
genus	1649468	Melaminivora	566	108948	0.002379
genus	Rhizobacter	Rhizobacter	565	136183	0.001100
genus	2742598	Limosilactobacillus	563	354081	0.004308
genus	53460	Nakamurella	557	162098	0.001234
genus	2094023	Glaesserella	529	149180	0.002673
genus	106589	Cupriavidus	529	94442	0.001696
genus	202907	Collimonas	515	169922	0.002304
genus	445	Legionella	504	297410	0.002159
genus	893	Desulfobulbus	502	274194	0.001979
genus	239759	Alistipes	496	181692	0.001811
genus	32008	Burkholderia	491	131885	0.002896
genus	Hansschlegelia	Hansschlegelia	487	158777	0.001206
genus	816	Bacteroides	416	139192	0.001123
genus	191028	Leisingera	408	72180	0.001730
genus	283810	Stackebrandtia	383	123030	0.000698
genus	2891324	Pseudothauera	376	122626	0.001566
genus	121820	Roseinatronobacter	375	203885	0.001522
genus	1543704	Niveispirillum	374	315249	0.001616
genus	665568	Paraoerskovia	374	93716	0.001554
genus	194195	Alysiella	372	154732	0.002047
genus	3236656	Metapseudomonas	368	83050	0.001060
genus	338	Xanthomonas	361	273744	0.010450
genus	1511649	Mongoliitalea	358	220186	0.001195
genus	2678886	Pulveribacter	357	64224	0.001653
genus	238749	Diaphorobacter	357	92606	0.001335
genus	2981634	Hominimerdicola	332	247727	0.002109
genus	2299	Desulfosarcina	331	215926	0.000772
genus	50	Chondromyces	324	144277	0.000384
genus	2892396	Vescimonas	322	143537	0.001922
genus	1822464	Paraburkholderia	320	119226	0.000677
genus	3020833	Isoalcanivorax	316	136185	0.001117
genus	2651583	Geomonas	303	80805	0.000780
genus	1485	Clostridium	298	101536	0.001103
genus	79603	Denitrobacterium	294	253140	0.002718
genus	28231	Geobacter	290	86985	0.002152
genus	43668	Brachybacterium	280	66318	0.001355
genus	182639	Kribbella	275	68505	0.000450
genus	507	Alcaligenes	273	66304	0.006779
genus	83681	Nonomuraea	269	51576	0.000314
genus	Acetatifactor	Acetatifactor	268	172906	0.001374
genus	96	Gallionella	258	110020	0.001508
genus	110932	Leifsonia	250	47756	0.001241
genus	191	Azospirillum	250	63319	0.000544
genus	1658781	Aliiroseovarius	244	160053	0.001462
genus	2758920	Paraconexibacter	244	55990	0.000534
genus	1827	Rhodococcus	242	122868	0.001128
genus	361106	Desulfoglaeba	230	150665	0.001151
genus	105	Runella	227	154238	0.000567
genus	2100764	Mixta	226	29199	0.000494
genus	1612157	Pararhodospirillum	225	102602	0.000822
genus	400947	Deefgea	223	143149	0.001100
genus	35812	Roseococcus	221	67828	0.000539
genus	16	Methylophilus	220	68016	0.001251
genus	33981	Kineococcus	216	33786	0.000391
genus	3236654	Ectopseudomonas	210	45784	0.003963
genus	2676781	Aquisediminimonas	206	139116	0.001094
genus	161492	Anaeromyxobacter	206	36525	0.000728
genus	1745211	Chania	205	94411	0.000603
genus	490567	Arenimonas	203	47415	0.000813
genus	1883	Streptomyces	198	28878	0.000553
genus	32207	Rothia	196	20385	0.001662
genus	332248	Truepera	192	84180	0.000819
genus	596707	Sinomonas	188	118581	0.001397
genus	240411	Chitinimonas	186	56745	0.000556
genus	504465	Rhodovastum	185	112240	0.000609
genus	644355	Inhella	180	61725	0.000562
genus	1054211	Sulfuritalea	179	74852	0.000753
genus	57493	Kocuria	176	76986	0.001417
genus	1357	Lactococcus	170	49632	0.033725
genus	2901164	Stutzerimonas	170	31809	0.000650
genus	152267	Pigmentiphaga	166	82940	0.000414
genus	48736	Ralstonia	159	37194	0.000911
genus	970	Selenomonas	154	71100	0.000492
genus	2706000	Casimicrobium	153	81652	0.000572
genus	397864	Barnesiella	149	98846	0.000904
genus	158851	Trabulsiella	147	30757	0.000392
genus	2888809	Novisyntrophococcus	141	88098	0.000652
genus	75	Caulobacter	140	46934	0.000480
genus	642	Aeromonas	139	17931	0.001101
genus	83614	Luteimonas	139	26815	0.000626
genus	1765964	Acidihalobacter	135	134979	0.001241
genus	41275	Brevundimonas	134	36305	0.000575
genus	53457	Janibacter	132	20319	0.000313
genus	935200	Sulfuricella	129	61192	0.000551
genus	2803845	Usitatibacter	129	35022	0.000324
genus	2731450	Limnoglobus	129	66743	0.000205
genus	2818469	Fuscovulum	128	38761	0.000490
genus	173479	Gemmatimonas	128	69913	0.000410
genus	1060	Rhodobacter	128	29221	0.000360
genus	1854	Frankia	127	23548	0.000274
genus	13134	Magnetospirillum	125	43302	0.000351
genus	1522432	Pseudoduganella	121	27144	0.000245
genus	2211641	Yoonia	117	10314	0.000095
genus	40544	Sutterella	116	73950	0.000660
genus	1392389	Intestinimonas	115	70879	0.000641
genus	279	Xanthobacter	115	21890	0.000194
genus	2800686	Tsuneonella	113	58924	0.000610
genus	374	Bradyrhizobium	112	31811	0.001537
genus	1817	Nocardia	112	32529	0.000231
genus	34037	Rahnella	107	31946	0.000411
genus	281472	Jiangella	106	41117	0.000369
genus	29526	Syntrophobacter	105	76696	0.000387
genus	Vitreimonas	Vitreimonas	105	48850	0.000378
genus	1506553	Lachnoclostridium	101	56833	0.000466
genus	53335	Pantoea	100	61190	0.000394
genus	3137766	Vreelandella	95	12802	0.000316
genus	1847	Pseudonocardia	95	15293	0.000257
genus	2911176	Aquibium	94	29699	0.000226
genus	3137761	Billgrantia	89	33274	0.000341
genus	848	Fusobacterium	86	9219	0.000989
genus	32257	Kingella	83	36349	0.000611
genus	28065	Rhodoferax	81	22752	0.000189
genus	574697	Butyricimonas	80	37543	0.000276
genus	570	Klebsiella	78	5201	0.002023
genus	52972	Polaromonas	76	45538	0.000331
genus	357	Agrobacterium	74	28980	0.000548
genus	909656	Phocaeicola	73	28219	0.000180
genus	518753	Luteolibacter	72	42535	0.000217
genus	106633	Thioalkalivibrio	69	21862	0.000250
genus	1504576	Pseudocitrobacter	69	20253	0.000228
genus	2824158	Aquirhabdus	68	54688	0.000363
genus	116071	Micropruina	68	23949	0.000241
genus	2901189	Halopseudomonas	67	34878	0.000314
genus	1843210	Anaerocolumna	66	40210	0.000201
genus	2898489	Paralysiella	61	30551	0.000341
genus	290425	Advenella	61	35053	0.000215
genus	75984	Mannheimia	59	13157	0.000793
genus	44013	Polynucleobacter	59	13480	0.000517
genus	1348911	Coprobacter	59	26503	0.000205
genus	47420	Hydrogenophaga	59	16816	0.000122
genus	2828348	Occultella	58	13190	0.000104
genus	1827195	Caballeronia	58	11943	0.000096
genus	629	Yersinia	55	11438	0.000278
genus	1269	Micrococcus	54	15989	0.000323
genus	2591381	Dysosmobacter	54	9803	0.000104
genus	1763521	Paludisphaera	54	19800	0.000082
genus	872	Desulfovibrio	52	29023	0.000235
genus	157591	Sterolibacterium	52	15358	0.000192
