TaxID	Name	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
397865	Barnesiella viscericola	6081	0.192144	0.192518	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella
797291	Sphingobacterium lactis	6002	0.189648	0.190017	cellular organisms;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
2419774	Protaetiibacter intestinalis	5927	0.187278	0.187643	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Protaetiibacter
69395	Caulobacter henricii	5845	0.184687	0.185047	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter
1945662	Paracoccus contaminans	5811	0.183613	0.18397	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
185951	Sphingomonas aerolata	5735	0.181211	0.181564	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
2842354	Pseudomonas maumuensis	5641	0.178241	0.178588	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
2686094	Terricaulis silvestris	5617	0.177483	0.177828	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Terricaulis
2093856	Butyricimonas faecalis	5545	0.175208	0.175549	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas
1387353	Paludisphaera borealis	5411	0.170974	0.171307	cellular organisms;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Paludisphaera
675281	Aquibium microcysteis	5373	0.169773	0.170104	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquibium
2824561	Luteolibacter ambystomatis	5328	0.168351	0.168679	cellular organisms;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter
252130	Uruburuella suis	4962	0.156787	0.157092	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Uruburuella
2584944	Sutterella faecalis	4925	0.155617	0.15592	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella
80816	Haliangium ochraceum	4918	0.155396	0.155699	cellular organisms;Myxococcota;;Haliangiales;Kofleriaceae;Haliangium
1935379	Leucobacter muris	4903	0.154922	0.155224	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter
2055955	Tsuneonella flava	4738	0.149709	0.15	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Tsuneonella
1842727	Rhodoferax koreensis	4658	0.147181	0.147467	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax
1778675	Chromobacterium rhizoryzae	4508	0.142441	0.142719	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chromobacterium
2781599	Streptococcus oriscaviae	4258	0.134542	0.134804	cellular organisms;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
