Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Sphingomonas aerolata	1	185951	185951	5735	0.181211	0.181564	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Pseudomonas maumuensis	1	2842354	2842354	5641	0.178241	0.178588	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Terricaulis silvestris	1	2686094	2686094	5617	0.177483	0.177828	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Terricaulis
Butyricimonas faecalis	1	2093856	2093856	5545	0.175208	0.175549	cellular organisms;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas
Paludisphaera borealis	1	1387353	1387353	5411	0.170974	0.171307	cellular organisms;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Paludisphaera
Aquibium microcysteis	1	675281	675281	5373	0.169773	0.170104	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquibium
Luteolibacter ambystomatis	1	2824561	2824561	5328	0.168351	0.168679	cellular organisms;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter
Uruburuella suis	1	252130	252130	4962	0.156787	0.157092	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Uruburuella
Sutterella faecalis	1	2584944	2584944	4925	0.155617	0.155920	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella
Haliangium ochraceum	1	80816	80816	4918	0.155396	0.155699	cellular organisms;Myxococcota;;Haliangiales;Kofleriaceae;Haliangium
Leucobacter muris	1	1935379	1935379	4903	0.154922	0.155224	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter
Tsuneonella flava	1	2055955	2055955	4738	0.149709	0.150000	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Tsuneonella
Rhodoferax koreensis	1	1842727	1842727	4658	0.147181	0.147467	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax
Chromobacterium rhizoryzae	1	1778675	1778675	4508	0.142441	0.142719	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chromobacterium
Streptococcus oriscaviae	1	2781599	2781599	4258	0.134542	0.134804	cellular organisms;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
Stenotrophomonas sp.	7	1904944	1904944;3456954;3051123;3051119;3465763;3465271;3162571	4221	0.133373	0.133633	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas
Halomonas chromatireducens	1	507626	507626	4147	0.131035	0.131290	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
Vescimonas fastidiosa	1	2714353	2714353	3925	0.124020	0.124261	cellular organisms;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Vescimonas
Ligilactobacillus murinus	1	1622	1622	3864	0.122093	0.122330	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus
Brevundimonas goettingensis	1	2774190	2774190	3850	0.121650	0.121887	cellular organisms;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
Kaistella daneshvariae	1	2487074	2487074	3848	0.121587	0.121824	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Kaistella
Bradyrhizobium paxllaeri	1	190148	190148	3826	0.120892	0.121127	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
Aquirhabdus parva	1	2283318	2283318	3700	0.116911	0.117138	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Aquirhabdus
Sphingomonas cannabina	1	2899123	2899123	3451	0.109043	0.109255	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Aquabacterium olei	1	1296669	1296669	3273	0.103418	0.103620	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;;Aquabacterium
Thioalkalivibrio nitratireducens	1	186931	186931	3142	0.099279	0.099472	cellular organisms;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
Methylobacterium durans	1	2202825	2202825	3125	0.098742	0.098934	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium
Luteipulveratus mongoliensis	1	571913	571913	3038	0.095993	0.096180	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Dermacoccaceae;Luteipulveratus
Micropruina glycogenica	1	75385	75385	2958	0.093465	0.093647	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Micropruina
Yersinia hibernica	1	2339259	2339259	2954	0.093339	0.093521	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia
Anaeromyxobacter dehalogenans	1	161493	161493	2933	0.092675	0.092856	cellular organisms;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter
Pseudomyxococcus hansupus	1	1297742	1297742	2929	0.092549	0.092729	cellular organisms;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Pseudomyxococcus
Serratia entomophila	1	42906	42906	2780	0.087841	0.088012	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia
