Sample_Taxid	clade_fragments_covered	abundance	rank	name
Illumina_CDC_69218	21.0	0.0	S	Enterobacter cancerogenus
Illumina_CDC_1639	4.0	0.0	S	Listeria monocytogenes
Illumina_CDC_1642	1.0	0.0	S	Listeria innocua
Illumina_CDC_292462	1.0	0.0	S	Mycobacterium florentinum
Illumina_CDC_1659	1.0	0.0	S	Actinomyces israelii
Illumina_CDC_1661	3.0	0.0	S	Trueperella pyogenes
Illumina_CDC_482957	7.0	0.0	S	Burkholderia lata
Illumina_CDC_179879	11.0	0.0	S	Burkholderia anthina
Illumina_CDC_206506	13.0	0.0	S	Kerstersia gyiorum
Illumina_CDC_257708	5.0	0.0	S	Roseomonas gilardii
Illumina_CDC_1710	14.0	0.0	S	Cellulosimicrobium cellulans
Illumina_CDC_945844	3.0	0.0	S	Massilia oculi
Illumina_CDC_1717	2.0	0.0	S	Corynebacterium diphtheriae
Illumina_CDC_1111732	1.0	0.0	S1	Ignatzschineria larvae DSM 13226
Illumina_CDC_1719	2.0	0.0	S	Corynebacterium pseudotuberculosis
Illumina_CDC_394935	1161.0	0.02	S	Chromobacterium haemolyticum
Illumina_CDC_85693	19.0	0.0	S	Mycolicibacterium monacense
Illumina_CDC_85698	754.0	0.02	S	Achromobacter xylosoxidans
Illumina_CDC_2666183	10.0	0.0	S	Pseudomonas juntendi
Illumina_CDC_83655	49.0	0.0	S	Leclercia adecarboxylata
Illumina_CDC_126673	319.0	0.01	S	Mycolicibacterium doricum
Illumina_CDC_394964	1.0	0.0	S	Corynebacterium hansenii
Illumina_CDC_1764	2.0	0.0	S	Mycobacterium avium
Illumina_CDC_1766	8.0	0.0	S	Mycolicibacterium fortuitum
Illumina_CDC_1767	11.0	0.0	S	Mycobacterium intracellulare
Illumina_CDC_1768	3.0	0.0	S	Mycobacterium kansasii
Illumina_CDC_1769	2.0	0.0	S	Mycobacterium leprae
Illumina_CDC_1773	15.0	0.0	S	Mycobacterium tuberculosis
Illumina_CDC_1774	3.0	0.0	S	Mycobacteroides chelonae
Illumina_CDC_679663	3.0	0.0	S	Corynebacterium canis
Illumina_CDC_1780	1.0	0.0	S	Mycobacterium malmoense
